model,cold_period,CBIQ,IL_@0.98 Baseline,IL_@0.98 FE-UCB,coldCL@0.98 Baseline,coldCL@0.98 FE-UCB,CL_@0.98 Baseline,CL_@0.98 FE-UCB,Experiment
catboost,10,1.943661971830986,96538.63425490684,124726.36137299491,4044.7603957860633,5192.2445986756575,212691.55113783473,213018.6140041547,16
catboost,100,2.1232394366197185,329453.95049462764,377080.850701868,9397.15058661572,10847.705951664671,212691.55113783473,212699.73164688135,16
catboost,200,2.2288732394366195,580215.6276971286,650945.0724987725,16665.004997303564,18574.485680742397,212691.55113783473,212296.04273076917,16
catboost,500,2.038732394366197,1178935.9730281066,1288029.439609334,36330.61888765323,39131.98617608896,212691.55113783473,211556.34530347513,16
catboost,0,1.4920578261645547,75154.6075270587,99808.44444409377,3380.249086164498,4361.951905008925,215267.5305246629,215553.3719269679,17
catboost,10,1.531322505800464,95493.74657810386,121975.6209214556,3764.931525260011,4774.449922015316,215267.5305246629,215539.61249913432,17
catboost,100,1.7276459039800107,358479.30606212403,406315.7292600793,9687.287801729535,11020.672995642912,215267.5305246629,215215.80726152597,17
catboost,200,1.799036230590755,627713.432751951,697073.1743837241,17070.801191197177,18813.8631447922,215267.5305246629,214857.478679665,17
catboost,500,1.6098518650722826,1256225.138982453,1362311.9385207996,36853.48788505933,39363.84404567692,215267.5305246629,214137.8445834009,17
catboost,0,1.6871767433565186,79016.52642879274,106111.87912793052,3453.109535630876,4520.327778821646,214853.93824678948,215180.74155070903,18
catboost,10,1.751382200820403,100664.91192660671,129651.65505667728,3879.0795342113383,4975.516859236862,214853.93824678948,215167.36274575823,18
catboost,100,1.9083288746210096,364535.5891016239,414377.3562485645,9883.48397952922,11308.991238807974,214853.93824678948,214848.19008786615,18
catboost,200,1.8976279650436951,634815.8373893404,706415.1324011369,17437.87538577382,19247.48171617645,214853.93824678948,214446.14401893527,18
catboost,500,1.7299803816657748,1266071.573358416,1374823.8073778728,37772.88176565819,40455.46547301465,214853.93824678948,213820.764146421,18
catboost,0,2.220485309269194,79669.49994292758,109536.99744795314,3535.3347821420916,4740.781047164226,206688.52433741404,207034.4081509671,19
catboost,10,2.2631186272071626,101034.8043795748,132616.42030046062,3982.3969434811006,5214.541256318797,206688.52433741404,207026.44069344533,19
catboost,100,2.40167691050556,357857.6313974579,408202.38010016835,9889.259880891404,11405.467160528007,206688.52433741404,206732.6379053685,19
catboost,200,2.4478630049383594,619644.6907789097,690413.5502283776,17185.82522505356,19078.738188385807,206688.52433741404,206388.12780387647,19
catboost,500,2.256013074217501,1231520.088443322,1337285.952974767,36949.59919547014,39592.49143694224,206688.52433741404,205730.07995306613,19
catboost,0,2.134229761951296,83723.6071196357,114643.50366059878,3627.0761082507743,4839.373656594728,205591.2648912093,205934.48704134577,20
catboost,10,2.169409373412031,106916.94064790753,139995.71354533595,4047.3473118425504,5287.049104064595,205591.2648912093,205918.23770449273,20
catboost,100,2.3687605050228666,371238.46676205355,425629.8612905386,9821.516878626631,11373.585421718051,205591.2648912093,205608.50247366176,20
catboost,200,2.3804870421764455,639178.7843857501,715050.9436942714,17172.522849359044,19092.316280094492,205591.2648912093,205247.8909121212,20
catboost,500,2.2319509048977837,1264283.2963117396,1374671.3137592357,36761.80746581099,39402.972263626674,205591.2648912093,204604.1736067918,20
catboost,0,1.5849056603773586,75356.17135189023,100492.37552170244,3286.4914642106987,4273.1278273763055,196885.38075831777,197199.1101402357,21
catboost,10,1.624627606752731,96851.19382077252,123851.45524551092,3662.6122058286346,4674.267992286362,196885.38075831777,197182.33190676023,21
catboost,100,1.791459781529295,345464.8455981225,390897.804344693,9189.859798523885,10463.369737349843,196885.38075831777,196909.8424421616,21
catboost,200,1.8311817279046672,597992.249669816,662900.6846232002,16220.477332245986,17883.719087310044,196885.38075831777,196620.85774230352,21
catboost,500,1.739821251241311,1190129.3034163672,1289118.5069929091,35103.87733649731,37465.643846933795,196885.38075831777,195989.48704744887,21
